Date,Price,Open,High,Low,Change %
"Aug 13, 2021",102.918,102.600,103.019,102.422,0.32%
"Aug 12, 2021",102.585,103.028,103.137,102.510,-0.41%
"Aug 11, 2021",103.004,103.055,103.140,102.725,-0.03%
"Aug 10, 2021",103.033,103.136,103.311,102.906,-0.07%
"Aug 09, 2021",103.110,103.048,103.237,102.851,0.13%
"Aug 06, 2021",102.978,103.222,103.349,102.838,-0.22%
"Aug 05, 2021",103.204,103.022,103.411,102.947,0.21%
"Aug 04, 2021",102.986,103.328,103.507,102.993,-0.31%
"Aug 03, 2021",103.310,103.229,103.497,103.089,0.10%
"Aug 02, 2021",103.211,103.345,103.613,103.169,-0.12%
"Jul 30, 2021",103.336,103.661,104.081,103.244,-0.31%
"Jul 29, 2021",103.653,103.555,103.848,103.372,0.12%
"Jul 28, 2021",103.526,103.419,103.641,103.066,0.16%
"Jul 27, 2021",103.359,102.723,103.523,102.561,0.66%
"Jul 26, 2021",102.679,102.367,102.873,102.257,0.40%
"Jul 23, 2021",102.275,102.502,102.628,102.113,-0.19%
"Jul 22, 2021",102.466,102.161,102.611,101.928,0.34%
"Jul 21, 2021",102.120,101.584,102.236,101.363,0.56%
"Jul 20, 2021",101.555,102.390,102.592,101.380,-0.76%
"Jul 19, 2021",102.336,102.865,102.980,102.214,-0.36%
"Jul 16, 2021",102.703,103.103,103.375,102.660,-0.36%
"Jul 15, 2021",103.074,103.201,103.536,102.913,-0.11%
"Jul 14, 2021",103.187,103.052,103.548,102.980,0.16%
"Jul 13, 2021",103.024,103.506,103.624,102.934,-0.41%
"Jul 12, 2021",103.448,103.555,103.738,103.214,-0.08%
"Jul 09, 2021",103.527,103.055,103.647,102.686,0.50%
"Jul 08, 2021",103.015,103.231,103.280,102.804,-0.19%
"Jul 07, 2021",103.210,102.936,103.378,102.821,0.28%
"Jul 06, 2021",102.923,102.885,103.381,102.730,0.07%
"Jul 05, 2021",102.852,102.999,103.141,102.792,-0.13%
"Jul 02, 2021",102.983,102.669,103.174,102.529,0.34%
"Jul 01, 2021",102.639,102.840,102.982,102.545,-0.17%
"Jun 30, 2021",102.818,102.824,103.124,102.569,0.04%
"Jun 29, 2021",102.780,103.131,103.157,102.640,-0.32%
"Jun 28, 2021",103.109,103.047,103.460,102.965,0.12%
"Jun 25, 2021",102.981,103.295,103.375,102.853,-0.28%
"Jun 24, 2021",103.273,103.535,103.829,102.993,-0.21%
"Jun 23, 2021",103.492,103.689,103.831,103.410,-0.17%
"Jun 22, 2021",103.668,103.288,103.812,102.869,0.39%
"Jun 21, 2021",103.263,102.368,103.374,102.228,0.92%
"Jun 18, 2021",102.325,103.271,103.462,102.223,-0.87%
"Jun 17, 2021",103.226,102.497,103.583,102.369,0.72%
